Frequency (Hz)	Level (dB)
11326.464844	-63.780941
11337.231445	-62.770844
11347.998047	-62.673267
11358.764648	-63.238708
11369.531250	-63.570282
11380.297852	-64.217194
11391.064453	-64.500259
11401.831055	-64.441216
11412.597656	-63.810860
11423.364258	-61.404839
11434.130859	-59.693584
11444.897461	-60.458397
11455.664062	-62.755104
11466.430664	-64.112190
11477.197266	-63.575287
11487.963867	-63.329960
11498.730469	-62.930283
11509.497070	-63.659454
11520.263672	-64.518333
11531.030273	-64.451088
11541.796875	-64.693169
11552.563477	-65.010017
11563.330078	-65.165230
11574.096680	-64.898521
11584.863281	-64.873093
11595.629883	-64.913338
11606.396484	-64.758446
11617.163086	-64.717171
11627.929688	-64.726967
11638.696289	-64.445129
11649.462891	-64.484421
11660.229492	-64.499489
11670.996094	-64.487122
11681.762695	-64.613625
11692.529297	-64.870178
11703.295898	-65.236015
11714.062500	-65.533180
11724.829102	-65.425652
11735.595703	-65.378021
11746.362305	-64.948326
11757.128906	-64.311157
11767.895508	-62.652363
11778.662109	-62.546143
11789.428711	-63.804577
11800.195312	-64.917542
11810.961914	-65.489876
11821.728516	-65.380264
11832.495117	-61.860340
11843.261719	-58.836632
11854.028320	-61.878845
11864.794922	-65.312027
11875.561523	-65.406143
11886.328125	-65.363625
11897.094727	-65.527740
11907.861328	-65.644066
11918.627930	-65.560768
11929.394531	-65.582962
11940.161133	-65.451607
11950.927734	-65.004196
11961.694336	-64.481575
11972.460938	-64.125267
11983.227539	-64.621658
11993.994141	-64.771523
12004.760742	-64.508896
12015.527344	-64.415993
12026.293945	-64.223373
12037.060547	-64.339340
12047.827148	-64.966446
12058.593750	-65.172897
12069.360352	-65.223953
12080.126953	-65.275116
12090.893555	-65.365791
12101.660156	-65.377037
12112.426758	-65.075745
12123.193359	-65.000206
12133.959961	-64.660942
12144.726562	-64.305214
12155.493164	-64.668777
12166.259766	-64.766548
12177.026367	-64.827354
12187.792969	-64.891174
12198.559570	-65.075478
12209.326172	-65.236366
12220.092773	-65.287865
12230.859375	-65.353249
12241.625977	-65.508591
12252.392578	-65.520767
12263.159180	-65.569611
12273.925781	-65.659149
12284.692383	-65.386703
12295.458984	-65.204323
12306.225586	-65.166931
12316.992188	-65.686600
12327.758789	-66.104858
12338.525391	-66.119766
12349.291992	-65.790718
12360.058594	-64.097832
12370.825195	-63.445419
12381.591797	-65.551468
12392.358398	-65.994492
12403.125000	-65.973091
12413.891602	-65.542625
12424.658203	-65.610382
12435.424805	-65.664124
12446.191406	-65.235588
12456.958008	-65.047630
12467.724609	-65.226707
12478.491211	-65.105568
12489.257812	-65.209633
12500.024414	-65.865204
12510.791016	-65.836479
12521.557617	-65.558533
12532.324219	-65.419846
12543.090820	-65.577538
